device,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT Alajuela 1,2025-08-21T01:10:02.381171,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.043,121.291792,146.59796,157277032,179529975,,,,,Telecable Costa Rica,190.113.114.238,7b6c9e91-6d36-4a06-a371-c63f29c6279e,https://www.speedtest.net/result/c/7b6c9e91-6d36-4a06-a371-c63f29c6279e,official
OLT Alajuela 1,2025-08-21T01:10:42.820806,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.96,152.693488,123.838696,225893312,224022878,,,,,Telecable Costa Rica,190.113.114.238,86c5a99c-1a61-4b6c-81ba-c314ff64994e,https://www.speedtest.net/result/c/86c5a99c-1a61-4b6c-81ba-c314ff64994e,official
OLT Alajuela 1,2025-08-21T01:17:50.157931,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.247,415.467824,443.441368,544874976,527909960,,,,,Telecable Costa Rica,200.105.99.72,da9eedf3-df71-42f1-9a6f-21a358a08061,https://www.speedtest.net/result/c/da9eedf3-df71-42f1-9a6f-21a358a08061,official
OLT Alajuela 1,2025-08-21T01:18:18.230104,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.145,14.490792,415.888016,11925752,475030581,,,,,Telecable Costa Rica,200.105.99.72,810136dd-8b4b-41a2-a492-0be94f5753c6,https://www.speedtest.net/result/c/810136dd-8b4b-41a2-a492-0be94f5753c6,official
OLT Alajuela 1,2025-08-21T01:23:49.617055,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,2.952,415.16324,443.090264,545125484,559898068,,,,,Telecable Costa Rica,200.105.99.72,59e9f860-d746-4b92-bb83-f81225c627c1,https://www.speedtest.net/result/c/59e9f860-d746-4b92-bb83-f81225c627c1,official
OLT Alajuela 1,2025-08-21T01:24:23.679758,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.157,20.07392,396.482904,33069040,410399363,,,,,Telecable Costa Rica,200.105.99.72,ed9f4e0c-de71-4333-8bb5-b6a0fa006d8f,https://www.speedtest.net/result/c/ed9f4e0c-de71-4333-8bb5-b6a0fa006d8f,official
OLT Alajuela 1,2025-08-21T01:29:54.711033,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.342,417.097672,443.324776,546629556,528995516,,,,,Telecable Costa Rica,200.105.99.72,9cb6757b-85f2-4bbd-b16c-bb86833aceba,https://www.speedtest.net/result/c/9cb6757b-85f2-4bbd-b16c-bb86833aceba,official
OLT Alajuela 1,2025-08-21T01:30:28.062390,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.107,14.39048,440.389464,20259376,558633037,,,,,Telecable Costa Rica,200.105.99.72,42927067-9cf0-4965-8ad5-89eab4b3abea,https://www.speedtest.net/result/c/42927067-9cf0-4965-8ad5-89eab4b3abea,official
OLT Alajuela 1,2025-08-21T01:35:58.867394,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.236,416.199728,443.281752,555848504,517675651,,,,,Telecable Costa Rica,200.105.99.72,ee298f81-40ff-42a3-9b6c-5fcf38ab1554,https://www.speedtest.net/result/c/ee298f81-40ff-42a3-9b6c-5fcf38ab1554,official
OLT Alajuela 1,2025-08-21T01:36:35.149589,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.407,17.022976,444.415792,20317268,748940109,,,,,Telecable Costa Rica,200.105.99.72,6ffa9a8f-c6cd-44f2-8a27-92bb0fd6dd0e,https://www.speedtest.net/result/c/6ffa9a8f-c6cd-44f2-8a27-92bb0fd6dd0e,official
OLT Alajuela 1,2025-08-21T01:42:06.503277,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.371,414.926856,443.35048,549173104,547232911,,,,,Telecable Costa Rica,200.105.99.72,2c04c4ce-9431-4b09-8ddc-d6da1987c8f9,https://www.speedtest.net/result/c/2c04c4ce-9431-4b09-8ddc-d6da1987c8f9,official
OLT Alajuela 1,2025-08-21T01:42:40.080057,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.388,19.079088,417.183728,30270456,415999687,,,,,Telecable Costa Rica,200.105.99.72,f69f3471-e9b3-4a64-b0af-2a755fce767a,https://www.speedtest.net/result/c/f69f3471-e9b3-4a64-b0af-2a755fce767a,official
OLT Alajuela 1,2025-08-21T01:48:11.120618,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.232,415.130048,443.368696,569010876,511400445,,,,,Telecable Costa Rica,200.105.99.72,25d4ee7a-c7e6-4c9b-8f12-94809694c72d,https://www.speedtest.net/result/c/25d4ee7a-c7e6-4c9b-8f12-94809694c72d,official
OLT Alajuela 1,2025-08-21T01:48:46.025821,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.168,17.657592,444.295328,20692860,711868018,,,,,Telecable Costa Rica,200.105.99.72,213bd36d-bbdf-43f3-8e49-9db26eae4766,https://www.speedtest.net/result/c/213bd36d-bbdf-43f3-8e49-9db26eae4766,official
